"mid","pid","userid","verified_type","text","created_at","reposts_count","comments_count","attitudes_count"
"4393682658213850","0","1244494133","0","#值得一品的爱豆直拍#蔡徐坤《Dream》直拍最爱版本粉格子卷毛小葵跳舞看似洒脱却不失力道互动小表情自然生动俏皮阳光15s不一样的指脸2分27秒那一脚卡点绝了#蔡徐坤[超话]#cxk#蔡徐坤直拍#原创歌手队长主唱rap巨c位舞台focus@蔡徐坤福星0802的微博视频","13/7/2019 19:57:19","254","225","2975"
"4393685837450960","+4393682658213850","1145635464","0","转发微博","13/7/2019 20:09:56","0","0","0"
"4393689008787238","+4393682658213850","3874022826","-1","转发微博","13/7/2019 20:22:33","0","0","0"
"4393689923092063","+4393682658213850","3874022826","-1","太可可了","13/7/2019 20:26:10","0","0","0"
"4393710341021952","+4393682658213850","6272405988","0","超爱的卷毛葵葵[憧憬]","13/7/2019 21:47:18","0","0","0"
"4393712601843023","+4393682658213850","5991827116","0","葵葵，我好i","13/7/2019 21:56:18","0","0","1"
"4393712874762471","+4393682658213850","5161389989","-1","好想我的活泼小葵[泪][泪][泪]","13/7/2019 21:57:22","0","0","0"
"4393724337824029","+4393682658213850","6604974586","-1","转发微博","13/7/2019 22:42:55","0","0","0"
"4393733707119916","+4393682658213850","5581505166","0","小葵踢的那脚好绝！！！","13/7/2019 23:20:10","0","0","0"
"4393761087904713","+4393682658213850","5775990934","-1","存舞台视频[心]@蔡徐坤","14/7/2019 01:08:57","0","0","0"
"4393825881133109","+4393682658213850","6857463475","-1","醉奶葵真的是我心中珍藏","14/7/2019 05:26:26","0","0","0"
"4393836568676230","+4393682658213850","5041323316","-1","转发微博","14/7/2019 06:08:54","0","0","0"
"4393853639661244","+4393682658213850","7219659123","-1","转发微博","14/7/2019 07:16:44","0","0","0"
"4393865802561968","+4393682658213850","6901992676","-1","转发微博","14/7/2019 08:05:04","0","0","0"
"4393878394129744","+4393682658213850","6889721707","-1","转发微博","14/7/2019 08:55:06","0","0","0"
"4393882550649890","+4393682658213850","6564477023","-1","太","14/7/2019 09:11:37","0","0","0"
"4393888581724312","+4393682658213850","6999989400","-1","转发微博","14/7/2019 09:35:35","0","0","0"
"4393918798430569","+4393682658213850","6052950219","-1","转发微博","14/7/2019 11:35:39","0","0","0"
"4393935575704116","+4393682658213850","5097981023","0","转发微博","14/7/2019 12:42:18","0","0","0"
"4393938658162856","+4393682658213850","6618874505","-1","转发微博","14/7/2019 12:54:34","0","0","0"
